,id,sku,name,url_key,url_path,type,author_name,book_cover,brand_name,short_description,price,list_price,badges,badges_new,discount,discount_rate,rating_average,review_count,order_count,favourite_count,thumbnail_url,thumbnail_width,thumbnail_height,freegift_items,has_ebook,inventory_status,is_visible,productset_id,productset_group_name,seller,is_flower,is_gift_card,inventory,url_attendant_input_form,option_color,stock_item,salable_type,seller_product_id,installment_info,url_review,bundle_deal,quantity_sold,tiki_live,original_price,shippable,impression_info,advertisement,availability,primary_category_path,product_reco_score,seller_id,visible_impression_info
0,271734158,5069036469101,"Giày Tennis VHD-Acura, đế kếp 2 lớp siêu bền, siêu êm - hàng công ty",giay-tennis-vhd-acura-de-kep-2-lop-sieu-ben-sieu-em-hang-cong-ty-p271734158,giay-tennis-vhd-acura-de-kep-2-lop-sieu-ben-sieu-em-hang-cong-ty-p271734158.html?spid=271734162,,,,OEM,,620000,0,[],"[{'code': 'video_icon', 'icon': 'https://salt.tikicdn.com/ts/upload/d5/f3/6f/fdd40db52ff4afe497d0c2240dcfd25b.png', 'icon_height': 28, 'icon_width': 28, 'placement': 'bottom_right', 'type': 'icon_badge'}, {'code': 'option_color', 'placement': 'under_rating', 'text': 'Nhiều màu', 'type': 'under_rating_text'}, {'code': 'delivery_info_badge', 'placement': 'delivery_info', 'text': 'Giao thứ 6, 27/10', 'type': 'delivery_info_badge'}]",230000,27,0.0,0,0,0,https://salt.tikicdn.com/cache/280x280/ts/product/49/96/2b/60ca47ce6e905a81a4f2b12f8c7c0880.jpg,280,280,[],False,,False,3547,,,False,False,,,[],,,271734162,,,False,"{'text': 'Đã bán 1', 'value': 1}",,850000,True,"[{'impression_id': 'thanos-DSbXYUIX0FmCWzTB-vC8lS4Ys', 'metadata': {'astra_reward': 0, 'category': 24182, 'delivery_date': '2023/10/27', 'delivery_info_badge_text': 'Giao thứ 6, 27/10', 'delivery_zone': 'VN039006001', 'discount_rate': 27, 'flags': {'_v': 'filter_revamp'}, 'is_ad': 0, 'is_astra_plus': 0, 'is_official_store': 0, 'is_tikinow': 0, 'is_tikipro': 0, 'is_trusted_store': 0, 'mpid': 271734158, 'params': {'_v': 'filter_revamp', 'aggregations': '2', 'category': '24182', 'include': 'advertisement', 'limit': '40', 'page': '1', 'trackity_id': 'c5464b70-2f56-0421-5dcc-93cc46c3dd2f', 'urlKey': 'giay-tennis-nam'}, 'position': 1, 'price': 620000, 'quantity_sold': 1, 'rating': 0, 'request_id': 'DSbXYUIX0FmCWzTB', 'spid': 271734162, 'tiki_verified': 1}, 'checksum': ''}]",,1,1/2/1975/6826/24182,0,41078,"{'amplitude': {'all_time_quantity_sold': 1, 'brand_name': 'OEM', 'category_l1_name': 'Thể Thao - Dã Ngoại', 'category_l2_name': 'Giày thể thao nam', 'earliest_delivery_estimate': 0, 'is_authentic': 0, 'is_best_offer_available': False, 'is_flash_deal': False, 'is_gift_available': False, 'master_product_sku': '5637329545776', 'number_of_reviews': 0, 'order_route': 'hn_hcm', 'partner_rewards_amount': 0, 'price': 620000, 'primary_category_name': 'Giày tennis nam', 'product_rating': 0, 'search_rank': 0, 'seller_id': 41078, 'seller_product_id': 271734162, 'seller_product_sku': '5069036469101', 'seller_type': 'NONE', 'standard_delivery_estimate': 3.05, 'tiki_verified': 1, 'tikinow_delivery_estimate': 0, 'tikipro_delivery_estimate': 0}}"
1,152568345,2945024212542,Giày Tennis chuyên dụng Jogabola JG21006 - Phân phối chính hãng,giay-tennis-chuyen-dung-jogabola-jg21006-phan-phoi-chinh-hang-p152568345,giay-tennis-chuyen-dung-jogabola-jg21006-phan-phoi-chinh-hang-p152568345.html?spid=229981091,,,,Jogarbola,,659000,0,[],"[{'code': 'video_icon', 'icon': 'https://salt.tikicdn.com/ts/upload/d5/f3/6f/fdd40db52ff4afe497d0c2240dcfd25b.png', 'icon_height': 28, 'icon_width': 28, 'placement': 'bottom_right', 'type': 'icon_badge'}, {'code': 'option_color', 'placement': 'under_rating', 'text': 'Nhiều màu', 'type': 'under_rating_text'}, {'code': 'delivery_info_badge', 'placement': 'delivery_info', 'text': 'Giao thứ 6, 27/10', 'type': 'delivery_info_badge'}]",191000,22,4.6,9,0,0,https://salt.tikicdn.com/cache/280x280/ts/product/ba/4e/39/263ef2f5fe678fb9b21f53426ed3528b.jpg,280,280,[],False,,False,3547,,,False,False,,,[],,,229981091,,,False,"{'text': 'Đã bán 36', 'value': 36}",,850000,True,"[{'impression_id': 'thanos-DSbXYUIX0FmCWzTB-f2il0FBf', 'metadata': {'astra_reward': 0, 'category': 24182, 'delivery_date': '2023/10/27', 'delivery_info_badge_text': 'Giao thứ 6, 27/10', 'delivery_zone': 'VN039006001', 'discount_rate': 22, 'flags': {'_v': 'filter_revamp'}, 'is_ad': 0, 'is_astra_plus': 0, 'is_official_store': 0, 'is_tikinow': 0, 'is_tikipro': 0, 'is_trusted_store': 0, 'mpid': 152568345, 'params': {'_v': 'filter_revamp', 'aggregations': '2', 'category': '24182', 'include': 'advertisement', 'limit': '40', 'page': '1', 'trackity_id': 'c5464b70-2f56-0421-5dcc-93cc46c3dd2f', 'urlKey': 'giay-tennis-nam'}, 'position': 2, 'price': 659000, 'quantity_sold': 36, 'rating': 4.6, 'request_id': 'DSbXYUIX0FmCWzTB', 'spid': 229981091, 'tiki_verified': 1}, 'checksum': ''}]",,1,1/2/1975/6826/24182,0,41078,"{'amplitude': {'all_time_quantity_sold': 36, 'brand_name': 'Jogarbola', 'category_l1_name': 'Thể Thao - Dã Ngoại', 'category_l2_name': 'Giày thể thao nam', 'earliest_delivery_estimate': 0, 'is_authentic': 0, 'is_best_offer_available': False, 'is_flash_deal': False, 'is_gift_available': False, 'master_product_sku': '8956635520093', 'number_of_reviews': 9, 'order_route': 'hn_hcm', 'partner_rewards_amount': 0, 'price': 659000, 'primary_category_name': 'Giày tennis nam', 'product_rating': 4.6, 'search_rank': 0, 'seller_id': 41078, 'seller_product_id': 229981091, 'seller_product_sku': '2945024212542', 'seller_type': 'NONE', 'standard_delivery_estimate': 3.05, 'tiki_verified': 1, 'tikinow_delivery_estimate': 0, 'tikipro_delivery_estimate': 0}}"
2,145860863,8924967120726,Giày tennis mẫu mới Giày JOGARBOLA dành cho nam chuyên nghiệp giày thể thao nam siêu bền,giay-tennis-mau-moi-giay-jogarbola-danh-cho-nam-chuyen-nghiep-giay-the-thao-nam-sieu-ben-p145860863,giay-tennis-mau-moi-giay-jogarbola-danh-cho-nam-chuyen-nghiep-giay-the-thao-nam-sieu-ben-p145860863.html?spid=145860916,,,,Jogarbola,,749000,0,[],"[{'code': 'option_color', 'placement': 'under_rating', 'text': 'Nhiều màu', 'type': 'under_rating_text'}, {'code': 'delivery_info_badge', 'placement': 'delivery_info', 'text': 'Giao thứ 6, 27/10', 'type': 'delivery_info_badge'}]",301000,29,4.5,12,0,0,https://salt.tikicdn.com/cache/280x280/ts/product/71/3d/00/05ca759ef8e9f0909e1393b54f98e00a.jpg,280,280,[],False,,False,3547,,,False,False,,,[],,,145860916,,,False,"{'text': 'Đã bán 85', 'value': 85}",,1050000,True,"[{'impression_id': 'thanos-DSbXYUIX0FmCWzTB-bMGaebv1', 'metadata': {'astra_reward': 0, 'category': 24182, 'delivery_date': '2023/10/27', 'delivery_info_badge_text': 'Giao thứ 6, 27/10', 'delivery_zone': 'VN039006001', 'discount_rate': 29, 'flags': {'_v': 'filter_revamp'}, 'is_ad': 0, 'is_astra_plus': 0, 'is_official_store': 0, 'is_tikinow': 0, 'is_tikipro': 0, 'is_trusted_store': 0, 'mpid': 145860863, 'params': {'_v': 'filter_revamp', 'aggregations': '2', 'category': '24182', 'include': 'advertisement', 'limit': '40', 'page': '1', 'trackity_id': 'c5464b70-2f56-0421-5dcc-93cc46c3dd2f', 'urlKey': 'giay-tennis-nam'}, 'position': 3, 'price': 749000, 'quantity_sold': 85, 'rating': 4.5, 'request_id': 'DSbXYUIX0FmCWzTB', 'spid': 145860916, 'tiki_verified': 1}, 'checksum': ''}]",,1,1/2/1975/6826/24182,0,9148,"{'amplitude': {'all_time_quantity_sold': 85, 'brand_name': 'Jogarbola', 'category_l1_name': 'Thể Thao - Dã Ngoại', 'category_l2_name': 'Giày thể thao nam', 'earliest_delivery_estimate': 0, 'is_authentic': 0, 'is_best_offer_available': False, 'is_flash_deal': False, 'is_gift_available': False, 'master_product_sku': '7426914888142', 'number_of_reviews': 12, 'order_route': 'hn_hcm', 'partner_rewards_amount': 0, 'price': 749000, 'primary_category_name': 'Giày tennis nam', 'product_rating': 4.5, 'search_rank': 0, 'seller_id': 9148, 'seller_product_id': 145860916, 'seller_product_sku': '8924967120726', 'seller_type': 'NONE', 'standard_delivery_estimate': 3.05, 'tiki_verified': 1, 'tikinow_delivery_estimate': 0, 'tikipro_delivery_estimate': 0}}"
3,246852307,2745612276746,"Giày Tennis nam chính hãng Jogarbola JG22098 mẫu mới siêu nhẹ, nhiều màu lựa chọn",giay-tennis-nam-chinh-hang-jogarbola-jg22098-mau-moi-sieu-nhe-nhieu-mau-lua-chon-p246852307,giay-tennis-nam-chinh-hang-jogarbola-jg22098-mau-moi-sieu-nhe-nhieu-mau-lua-chon-p246852307.html?spid=246852329,,,,Jogarbola,,799000,0,[],"[{'code': 'option_color', 'placement': 'under_rating', 'text': 'Nhiều màu', 'type': 'under_rating_text'}, {'code': 'delivery_info_badge', 'placement': 'delivery_info', 'text': 'Giao thứ 6, 27/10', 'type': 'delivery_info_badge'}]",346000,30,0.0,0,0,0,https://salt.tikicdn.com/cache/280x280/ts/product/24/36/ce/3e7e7c9013524165b989665e17efc88f.jpg,280,280,[],False,,False,3547,,,False,False,,,[],,,246852329,,,False,"{'text': 'Đã bán 5', 'value': 5}",,1145000,True,"[{'impression_id': 'thanos-DSbXYUIX0FmCWzTB-ZCcJflFD', 'metadata': {'astra_reward': 0, 'category': 24182, 'delivery_date': '2023/10/27', 'delivery_info_badge_text': 'Giao thứ 6, 27/10', 'delivery_zone': 'VN039006001', 'discount_rate': 30, 'flags': {'_v': 'filter_revamp'}, 'is_ad': 0, 'is_astra_plus': 0, 'is_official_store': 0, 'is_tikinow': 0, 'is_tikipro': 0, 'is_trusted_store': 0, 'mpid': 246852307, 'params': {'_v': 'filter_revamp', 'aggregations': '2', 'category': '24182', 'include': 'advertisement', 'limit': '40', 'page': '1', 'trackity_id': 'c5464b70-2f56-0421-5dcc-93cc46c3dd2f', 'urlKey': 'giay-tennis-nam'}, 'position': 4, 'price': 799000, 'quantity_sold': 5, 'rating': 0, 'request_id': 'DSbXYUIX0FmCWzTB', 'spid': 246852329, 'tiki_verified': 1}, 'checksum': ''}]",,1,1/2/1975/6826/24182,0,9148,"{'amplitude': {'all_time_quantity_sold': 5, 'brand_name': 'Jogarbola', 'category_l1_name': 'Thể Thao - Dã Ngoại', 'category_l2_name': 'Giày thể thao nam', 'earliest_delivery_estimate': 0, 'is_authentic': 0, 'is_best_offer_available': False, 'is_flash_deal': False, 'is_gift_available': False, 'master_product_sku': '3997721821093', 'number_of_reviews': 0, 'order_route': 'hn_hcm', 'partner_rewards_amount': 0, 'price': 799000, 'primary_category_name': 'Giày tennis nam', 'product_rating': 0, 'search_rank': 0, 'seller_id': 9148, 'seller_product_id': 246852329, 'seller_product_sku': '2745612276746', 'seller_type': 'NONE', 'standard_delivery_estimate': 3.05, 'tiki_verified': 1, 'tikinow_delivery_estimate': 0, 'tikipro_delivery_estimate': 0}}"
4,57306307,5326058785375,Giày Tennis Cao Cấp,giay-tennis-nam-cp-tn15-p57306307,giay-tennis-nam-cp-tn15-p57306307.html?spid=57306311,,,,Chí Phèo,,479400,0,[],"[{'code': 'delivery_info_badge', 'placement': 'delivery_info', 'text': 'Giao thứ 6, 27/10', 'type': 'delivery_info_badge'}]",84600,15,4.5,7,0,0,https://salt.tikicdn.com/cache/280x280/ts/product/16/0e/4e/fafb1ece95a567f7be0b473d92cb453a.jpg,280,280,[],False,,False,3547,,,False,False,,,[],,,57306311,,,False,"{'text': 'Đã bán 21', 'value': 21}",,564000,True,"[{'impression_id': 'thanos-DSbXYUIX0FmCWzTB-mL2LepTt', 'metadata': {'astra_reward': 0, 'category': 24182, 'delivery_date': '2023/10/27', 'delivery_info_badge_text': 'Giao thứ 6, 27/10', 'delivery_zone': 'VN039006001', 'discount_rate': 15, 'flags': {'_v': 'filter_revamp'}, 'is_ad': 0, 'is_astra_plus': 0, 'is_official_store': 0, 'is_tikinow': 0, 'is_tikipro': 0, 'is_trusted_store': 0, 'mpid': 57306307, 'params': {'_v': 'filter_revamp', 'aggregations': '2', 'category': '24182', 'include': 'advertisement', 'limit': '40', 'page': '1', 'trackity_id': 'c5464b70-2f56-0421-5dcc-93cc46c3dd2f', 'urlKey': 'giay-tennis-nam'}, 'position': 5, 'price': 479400, 'quantity_sold': 21, 'rating': 4.5, 'request_id': 'DSbXYUIX0FmCWzTB', 'spid': 57306311, 'tiki_verified': 1}, 'checksum': ''}]",,1,1/2/1975/6826/24182,0,115821,"{'amplitude': {'all_time_quantity_sold': 21, 'brand_name': 'Chí Phèo', 'category_l1_name': 'Thể Thao - Dã Ngoại', 'category_l2_name': 'Giày thể thao nam', 'earliest_delivery_estimate': 0, 'is_authentic': 0, 'is_best_offer_available': False, 'is_flash_deal': False, 'is_gift_available': False, 'master_product_sku': '1378978033900', 'number_of_reviews': 7, 'order_route': 'near_region', 'partner_rewards_amount': 0, 'price': 479400, 'primary_category_name': 'Giày tennis nam', 'product_rating': 4.5, 'search_rank': 0, 'seller_id': 115821, 'seller_product_id': 57306311, 'seller_product_sku': '5326058785375', 'seller_type': 'NONE', 'standard_delivery_estimate': 3.05, 'tiki_verified': 1, 'tikinow_delivery_estimate': 0, 'tikipro_delivery_estimate': 0}}"
5,271240072,1303299872487,Giày quần vợt nam M NIKE ZOOM VAPOR PRO 2 HC,giay-quan-vot-nam-m-nike-zoom-vapor-pro-2-hc-p271240072,giay-quan-vot-nam-m-nike-zoom-vapor-pro-2-hc-p271240072.html?spid=271240087,,,,Nike,,3103690,0,[],"[{'code': 'tikinow', 'icon': 'https://salt.tikicdn.com/ts/tka/a8/31/b6/802e2c99dcce64c67aa2648edb15dd25.png', 'icon_height': 16, 'icon_width': 32, 'placement': 'delivery_info', 'text': 'Giao siêu tốc 2h', 'type': 'delivery_info_badge'}, {'code': 'authentic_brand', 'icon': 'https://salt.tikicdn.com/ts/tka/69/cf/22/1be823299ae34c7ddcd922e73abd4909.png', 'icon_height': 20, 'icon_width': 89, 'placement': 'under_product_image', 'type': 'icon_badge'}, {'code': 'option_color', 'placement': 'under_rating', 'text': 'Nhiều màu', 'type': 'under_rating_text'}]",615310,17,0.0,0,0,0,https://salt.tikicdn.com/cache/280x280/ts/product/11/40/46/72ca806014aed2c84e6fcac5b9627d19.jpg,280,280,[],False,,False,3547,,,False,False,,,[],,,271240087,,,False,,,3719000,True,"[{'impression_id': 'thanos-DSbXYUIX0FmCWzTB-gVVxGhgw', 'metadata': {'astra_reward': 0, 'category': 24182, 'delivery_zone': 'VN039006001', 'discount_rate': 17, 'flags': {'_v': 'filter_revamp'}, 'is_ad': 0, 'is_astra_plus': 0, 'is_official_store': 0, 'is_tikinow': 1, 'is_tikipro': 0, 'is_trusted_store': 0, 'mpid': 271240072, 'params': {'_v': 'filter_revamp', 'aggregations': '2', 'category': '24182', 'include': 'advertisement', 'limit': '40', 'page': '1', 'trackity_id': 'c5464b70-2f56-0421-5dcc-93cc46c3dd2f', 'urlKey': 'giay-tennis-nam'}, 'position': 6, 'price': 3103690, 'quantity_sold': 0, 'rating': 0, 'request_id': 'DSbXYUIX0FmCWzTB', 'spid': 271240087, 'tiki_verified': 1}, 'checksum': ''}]",,1,1/2/1975/6826/24182,0,1,"{'amplitude': {'all_time_quantity_sold': 0, 'brand_name': 'Nike', 'category_l1_name': 'Thể Thao - Dã Ngoại', 'category_l2_name': 'Giày thể thao nam', 'earliest_delivery_estimate': 0, 'is_authentic': 1, 'is_best_offer_available': False, 'is_flash_deal': False, 'is_gift_available': False, 'master_product_sku': '8076894195509', 'number_of_reviews': 0, 'order_route': 'same_province', 'partner_rewards_amount': 0, 'price': 3103690, 'primary_category_name': 'Giày tennis nam', 'product_rating': 0, 'search_rank': 0, 'seller_id': 1, 'seller_product_id': 271240087, 'seller_product_sku': '1303299872487', 'seller_type': 'OFFICIAL_STORE', 'standard_delivery_estimate': 0, 'tiki_verified': 1, 'tikinow_delivery_estimate': 0.21, 'tikipro_delivery_estimate': 0}}"
6,270741899,3820706835083,Giày Thể Thao Nam Biti's Hunter Tennis HSM000200TRG (Trắng),giay-the-thao-nam-biti-s-hunter-tennis-hsm000200trg-trang-p270741899,giay-the-thao-nam-biti-s-hunter-tennis-hsm000200trg-trang-p270741899.html?spid=270741905,,,,Biti's,,809000,0,[],"[{'code': 'authentic_brand', 'icon': 'https://salt.tikicdn.com/ts/tka/69/cf/22/1be823299ae34c7ddcd922e73abd4909.png', 'icon_height': 20, 'icon_width': 89, 'placement': 'under_product_image', 'type': 'icon_badge'}, {'code': 'delivery_info_badge', 'icon': 'https://salt.tikicdn.com/cache/w96/ts/tka/26/a2/90/0663718b1c04d15a46bf0f23874a7e01.png', 'icon_height': 16, 'icon_width': 32, 'placement': 'delivery_info', 'text': 'Giao chiều thứ 5, 26/10', 'type': 'delivery_info_badge'}]",90000,10,0.0,0,0,0,https://salt.tikicdn.com/cache/280x280/ts/product/78/af/6a/9c3da59db9b7d1abe16312817167af2b.png,280,280,[],False,,False,3547,,,False,False,,,[],,,270741905,,,False,"{'text': 'Đã bán 1', 'value': 1}",,899000,True,"[{'impression_id': 'thanos-DSbXYUIX0FmCWzTB-LEFsS9MB', 'metadata': {'astra_reward': 0, 'category': 24182, 'delivery_date': '2023/10/26', 'delivery_info_badge_text': 'Giao chiều thứ 5, 26/10', 'delivery_zone': 'VN039006001', 'discount_rate': 10, 'flags': {'_v': 'filter_revamp'}, 'is_ad': 0, 'is_astra_plus': 0, 'is_official_store': 0, 'is_tikinow': 0, 'is_tikipro': 0, 'is_trusted_store': 0, 'mpid': 270741899, 'params': {'_v': 'filter_revamp', 'aggregations': '2', 'category': '24182', 'include': 'advertisement', 'limit': '40', 'page': '1', 'trackity_id': 'c5464b70-2f56-0421-5dcc-93cc46c3dd2f', 'urlKey': 'giay-tennis-nam'}, 'position': 7, 'price': 809000, 'quantity_sold': 1, 'rating': 0, 'request_id': 'DSbXYUIX0FmCWzTB', 'spid': 270741905, 'tiki_verified': 1}, 'checksum': ''}]",,1,1/2/1975/6826/24182,0,112034,"{'amplitude': {'all_time_quantity_sold': 1, 'brand_name': ""Biti's"", 'category_l1_name': 'Thể Thao - Dã Ngoại', 'category_l2_name': 'Giày thể thao nam', 'earliest_delivery_estimate': 1.8, 'is_authentic': 1, 'is_best_offer_available': False, 'is_flash_deal': False, 'is_gift_available': False, 'master_product_sku': '9532511675397', 'number_of_reviews': 0, 'order_route': 'same_province', 'partner_rewards_amount': 0, 'price': 809000, 'primary_category_name': 'Giày tennis nam', 'product_rating': 0, 'search_rank': 0, 'seller_id': 112034, 'seller_product_id': 270741905, 'seller_product_sku': '3820706835083', 'seller_type': 'NONE', 'standard_delivery_estimate': 2.008, 'tiki_verified': 1, 'tikinow_delivery_estimate': 0, 'tikipro_delivery_estimate': 0}}"
7,271237394,3144076441566,Giày Quần Vợt Thể Thao Nam NIKE ZOOM VAPOR CAGE 4 RAFA,giay-quan-vot-the-thao-nam-nike-zoom-vapor-cage-4-rafa-p271237394,giay-quan-vot-the-thao-nam-nike-zoom-vapor-cage-4-rafa-p271237394.html?spid=271237400,,,,Nike,,3888155,0,[],"[{'code': 'authentic_brand', 'icon': 'https://salt.tikicdn.com/ts/tka/69/cf/22/1be823299ae34c7ddcd922e73abd4909.png', 'icon_height': 20, 'icon_width': 89, 'placement': 'under_product_image', 'type': 'icon_badge'}, {'code': 'option_color', 'placement': 'under_rating', 'text': 'Nhiều màu', 'type': 'under_rating_text'}, {'code': 'delivery_info_badge', 'placement': 'delivery_info', 'text': 'Giao chủ nhật, 29/10', 'type': 'delivery_info_badge'}]",770845,17,0.0,0,0,0,https://salt.tikicdn.com/cache/280x280/ts/product/dc/ee/cd/71c118fe526a13892199cdeacba1ac21.png,280,280,[],False,,False,3555,,,False,False,,,[],,,271237400,,,False,,,4659000,True,"[{'impression_id': 'thanos-DSbXYUIX0FmCWzTB-Xf8ujQHA', 'metadata': {'astra_reward': 0, 'category': 24182, 'delivery_date': '2023/10/29', 'delivery_info_badge_text': 'Giao chủ nhật, 29/10', 'delivery_zone': 'VN039006001', 'discount_rate': 17, 'flags': {'_v': 'filter_revamp'}, 'is_ad': 0, 'is_astra_plus': 0, 'is_official_store': 0, 'is_tikinow': 0, 'is_tikipro': 0, 'is_trusted_store': 0, 'mpid': 271237394, 'params': {'_v': 'filter_revamp', 'aggregations': '2', 'category': '24182', 'include': 'advertisement', 'limit': '40', 'page': '1', 'trackity_id': 'c5464b70-2f56-0421-5dcc-93cc46c3dd2f', 'urlKey': 'giay-tennis-nam'}, 'position': 8, 'price': 3888155, 'quantity_sold': 0, 'rating': 0, 'request_id': 'DSbXYUIX0FmCWzTB', 'spid': 271237400, 'tiki_verified': 1}, 'checksum': ''}]",,1,1/2/1975/6826/24182,0,1,"{'amplitude': {'all_time_quantity_sold': 0, 'brand_name': 'Nike', 'category_l1_name': 'Thể Thao - Dã Ngoại', 'category_l2_name': 'Giày thể thao nam', 'earliest_delivery_estimate': 0, 'is_authentic': 1, 'is_best_offer_available': False, 'is_flash_deal': False, 'is_gift_available': False, 'master_product_sku': '2251741860915', 'number_of_reviews': 0, 'order_route': 'same_province', 'partner_rewards_amount': 0, 'price': 3888155, 'primary_category_name': 'Giày tennis nam', 'product_rating': 0, 'search_rank': 0, 'seller_id': 1, 'seller_product_id': 271237400, 'seller_product_sku': '3144076441566', 'seller_type': 'OFFICIAL_STORE', 'standard_delivery_estimate': 5.05, 'tiki_verified': 1, 'tikinow_delivery_estimate': 0, 'tikipro_delivery_estimate': 0}}"
8,263586602,6615163541031,Giày Thể Thao Nam Hunter Tennis HSM000200XAM (Xám),giay-the-thao-nam-hunter-tennis-hsm000200xam-xam-p263586602,giay-the-thao-nam-hunter-tennis-hsm000200xam-xam-p263586602.html?spid=263586608,,,,Biti's,,853000,0,[],"[{'code': 'authentic_brand', 'icon': 'https://salt.tikicdn.com/ts/tka/69/cf/22/1be823299ae34c7ddcd922e73abd4909.png', 'icon_height': 20, 'icon_width': 89, 'placement': 'under_product_image', 'type': 'icon_badge'}, {'code': 'delivery_info_badge', 'icon': 'https://salt.tikicdn.com/cache/w96/ts/tka/26/a2/90/0663718b1c04d15a46bf0f23874a7e01.png', 'icon_height': 16, 'icon_width': 32, 'placement': 'delivery_info', 'text': 'Giao chiều thứ 5, 26/10', 'type': 'delivery_info_badge'}]",0,0,0.0,0,0,0,https://salt.tikicdn.com/cache/280x280/ts/product/85/b2/99/bb79fb6af9e05e364cca4d01d5d41d17.png,280,280,[],False,,False,3547,,,False,False,,,[],,,263586608,,,False,,,853000,True,"[{'impression_id': 'thanos-DSbXYUIX0FmCWzTB-ujaOFo3s', 'metadata': {'astra_reward': 0, 'category': 24182, 'delivery_date': '2023/10/26', 'delivery_info_badge_text': 'Giao chiều thứ 5, 26/10', 'delivery_zone': 'VN039006001', 'discount_rate': 0, 'flags': {'_v': 'filter_revamp'}, 'is_ad': 0, 'is_astra_plus': 0, 'is_official_store': 0, 'is_tikinow': 0, 'is_tikipro': 0, 'is_trusted_store': 0, 'mpid': 263586602, 'params': {'_v': 'filter_revamp', 'aggregations': '2', 'category': '24182', 'include': 'advertisement', 'limit': '40', 'page': '1', 'trackity_id': 'c5464b70-2f56-0421-5dcc-93cc46c3dd2f', 'urlKey': 'giay-tennis-nam'}, 'position': 9, 'price': 853000, 'quantity_sold': 0, 'rating': 0, 'request_id': 'DSbXYUIX0FmCWzTB', 'spid': 263586608, 'tiki_verified': 1}, 'checksum': ''}]",,1,1/2/1975/6826/24182,0,178519,"{'amplitude': {'all_time_quantity_sold': 0, 'brand_name': ""Biti's"", 'category_l1_name': 'Thể Thao - Dã Ngoại', 'category_l2_name': 'Giày thể thao nam', 'earliest_delivery_estimate': 1.8, 'is_authentic': 1, 'is_best_offer_available': False, 'is_flash_deal': False, 'is_gift_available': False, 'master_product_sku': '1667078490803', 'number_of_reviews': 0, 'order_route': 'same_province', 'partner_rewards_amount': 0, 'price': 853000, 'primary_category_name': 'Giày tennis nam', 'product_rating': 0, 'search_rank': 0, 'seller_id': 178519, 'seller_product_id': 263586608, 'seller_product_sku': '6615163541031', 'seller_type': 'OFFICIAL_STORE', 'standard_delivery_estimate': 2.008, 'tiki_verified': 1, 'tikinow_delivery_estimate': 0, 'tikipro_delivery_estimate': 0}}"
9,188321831,7375350865149,Giày tennis nam Mizuno Wave Intense Tour 5 61GA190030 mẫu mới màu xanh-tặng tất thể thao bendu,giay-tennis-nam-mizuno-wave-intense-tour-5-61ga190030-mau-moi-mau-xanh-p188321831,giay-tennis-nam-mizuno-wave-intense-tour-5-61ga190030-mau-moi-mau-xanh-p188321831.html?spid=188321833,,,,Mizuno,,2849000,0,[],"[{'code': 'authentic_brand', 'icon': 'https://salt.tikicdn.com/ts/tka/69/cf/22/1be823299ae34c7ddcd922e73abd4909.png', 'icon_height': 20, 'icon_width': 89, 'placement': 'under_product_image', 'type': 'icon_badge'}, {'code': 'freegift_items', 'placement': 'under_rating', 'text': 'Quà tặng', 'type': 'under_rating_text'}, {'code': 'delivery_info_badge', 'placement': 'delivery_info', 'text': 'Giao thứ 6, 27/10', 'type': 'delivery_info_badge'}]",851000,23,5.0,1,0,0,https://salt.tikicdn.com/cache/280x280/ts/product/ac/51/54/218080a4ee826cbe906a6a9025f8e828.jpg,280,280,[],False,,False,3547,,,False,False,,,[],,,188321833,,,False,"{'text': 'Đã bán 7', 'value': 7}",,3700000,True,"[{'impression_id': 'thanos-DSbXYUIX0FmCWzTB-Wc5CSbso', 'metadata': {'astra_reward': 0, 'category': 24182, 'delivery_date': '2023/10/27', 'delivery_info_badge_text': 'Giao thứ 6, 27/10', 'delivery_zone': 'VN039006001', 'discount_rate': 23, 'flags': {'_v': 'filter_revamp'}, 'is_ad': 0, 'is_astra_plus': 0, 'is_official_store': 0, 'is_tikinow': 0, 'is_tikipro': 0, 'is_trusted_store': 0, 'mpid': 188321831, 'params': {'_v': 'filter_revamp', 'aggregations': '2', 'category': '24182', 'include': 'advertisement', 'limit': '40', 'page': '1', 'trackity_id': 'c5464b70-2f56-0421-5dcc-93cc46c3dd2f', 'urlKey': 'giay-tennis-nam'}, 'position': 10, 'price': 2849000, 'quantity_sold': 7, 'rating': 5, 'request_id': 'DSbXYUIX0FmCWzTB', 'spid': 188321833, 'tiki_verified': 1}, 'checksum': ''}]",,1,1/2/1975/6826/24182,0,9148,"{'amplitude': {'all_time_quantity_sold': 7, 'brand_name': 'Mizuno', 'category_l1_name': 'Thể Thao - Dã Ngoại', 'category_l2_name': 'Giày thể thao nam', 'earliest_delivery_estimate': 0, 'is_authentic': 1, 'is_best_offer_available': False, 'is_flash_deal': False, 'is_gift_available': True, 'master_product_sku': '5908621813665', 'number_of_reviews': 1, 'order_route': 'hn_hcm', 'partner_rewards_amount': 0, 'price': 2849000, 'primary_category_name': 'Giày tennis nam', 'product_rating': 5, 'search_rank': 0, 'seller_id': 9148, 'seller_product_id': 188321833, 'seller_product_sku': '7375350865149', 'seller_type': 'NONE', 'standard_delivery_estimate': 3.05, 'tiki_verified': 1, 'tikinow_delivery_estimate': 0, 'tikipro_delivery_estimate': 0}}"
